"","V1"
"5011",0.371279818410416
"56484",0.288512089725123
"1069680",3.70046021356942
"653667",0.388120684362618
"4896",0.335828309095672
"402676",0.391342573068483
"39416",1.92644575125271
"1076935",1.00289584187623
"1043628",1.3792680684117
"1284197",1.24476175694552
"756982",1.30272354593761
"990650",4.60472440944882
"27342",3.56232781813073
"599839",3.53627352211271
"743788",3.52062883697343
"914234",3.73951067256346
"5643",3.30444939203039
"732165",3.32128003390818
"650164",3.28540269259434
"745531",3.63601089130769
"747525",3.88141829849923
"933084",3.90731368558773
"670483",3.77962929662264
"1137138",3.8917926988938
"1128425",3.9975556347711
"1314674",3.01260222216699
"578458",3.4896748794803
"944289",3.99834133909627
"554373",4.10694986137869
"221103",3.47909477506937
"1306850",3.84045970724724
"946122",3.74470616887628
"936046",3.71951413532601
"240176",3.23423604734532
"1095629",3.85942903200645
"486041",4.17650401821642
"945553",3.70896881101905
"765440",3.91097439133407
"664439",3.89846626129983
"994086",3.61684532447066
"1036808",3.78920406910346
"936435",3.99966598443419
"1086054",3.99958590975791
"1051891",4.02698613233047
"930990",4.42991038905459
"5421",5.00708564434547
"1220162",0.868601989976919
"235443",3.57024936201464
"671144",1.70583398838081
"1299270",1.26345234598232
"76773",0.15891890274911
"77020",0.31097274995072
"1230383",0.242029613494322
"1365824",0.0699035479768872
"1037660",1.36694321528285
"58919",2.60848796676871
"5407",0.843391112426076
"1280837",0.0805472054952525
"215250",1.01870746143804
"1277687",0.741966313496182
"84746",0.691813913398508
"1882483",0.110557470690754
"1391700",0.0990637662095117
"84753",0.0787450292200305
"120017",0.0905724176797359
"49012",0.128712702392971
"999809",0.0835745708517834
"237631",0.0695840756842796
"1305764",0.0452856249274722
"401625",2.04564510935256
"683840",3.37966488956588
"5005",3.74358141536174
"1130832",3.64872658834957
"764103",2.21591456500634
"747676",3.58832193284332
"1165861",3.18714389885182
"27349",2.87502271594123
"630390",3.05116720221916
"1263082",3.25555003900986
"35722",1.74315661591749
"1220926",1.88607753385636
"246409",2.15190748292204
"747089",4.35951736025609
"796925",1.63208957776977
"578462",1.29162329555868
"1344416",4.91880074953154
"645134",3.87755470884658
"988480",2.71887935301671
"284813",0
"876142",0
"907965",0
"1178016",0
"1037528",0.0552165870627536
"40302",0
"578461",0.0630689343452393
"993615",0
"481877",0
"1358809",0
"1240240",0
"146866",0
"72359",0
"948595",0.00771551358316166
"1003232",0
"691883",2.29309299713833
"9606",7.06185448439261
